time,latitude,longitude,precipitation_warmest_quarter,surface-sensible-heat-flux_driest-quarter,evaporative-fraction_driest-quarter,surface-sensible-heat-flux_wettest-quarter,surface-latent-heat-flux_driest-quarter,mean_temp_warmest_quarter,surface-sensible-heat-flux_warmest-quarter,surface-sensible-heat-flux_coldest-quarter,mean_temp_wettest_quarter,surface-latent-heat-flux_warmest-quarter,surface-latent-heat-flux_coldest-quarter,volumetric-soil-water-layer-1_wettest-quarter,evaporative-fraction_warmest-quarter,mean_temp_annual,evaporative-fraction_coldest-quarter,volumetric-soil-water-layer-1_coldest-quarter,precipitaion_driest_quarter,evaporative-fraction_wettest-quarter,mean_diurnal_range,volumetric-soil-water-layer-1_warmest-quarter,surface-latent-heat-flux_wettest-quarter,precipitation_wettest_quarter,aridity_wettest-quarter,potential-evaporation_wettest-quarter,potential-evaporation_coldest-quarter,aridity_coldest-quarter,water-vapor-pressure_annual-mean,potential-evaporation_warmest-quarter,cloud-cover_annual-mean,aridity_warmest-quarter,aridity_driest-quarter,mean_temp_driest_quarter,mean_temp_coldest_quarter,volumetric-soil-water-layer-1_driest-quarter,potential-evaporation_driest-quarter,precipitation_coldest_quarter
1960,50.75,5.25,2.89E-08,-3.9749327,0.9229624,-3.2013013,40.835033,289.47662,13.758696,-20.23972,283.2895,83.131645,13.556305,0.36513048,0.84247136,282.73734,0.977369,0.37381303,1.89E-08,0.8943601,6.7308426,0.28554982,57.313873,3.80E-08,0.029182117,1.81E-08,2.11E-09,0.012255362,1026.1959,3.19E-08,0.6914209,0.18469732,0.004937425,280.66788,274.9919,0.33401504,1.12E-08,2.42E-08
1960,50.75,5.75,2.92E-08,-3.2078714,0.92747736,-5.130314,46.070297,289.20224,13.640501,-20.585178,282.13828,83.77686,13.215215,0.36895397,0.84513795,282.40897,0.97950363,0.37665832,2.03E-08,0.9054138,6.4570293,0.28599077,54.475906,4.04E-08,0.026356816,1.66E-08,1.90E-09,0.007556143,1010.0167,3.15E-08,0.6929675,0.155972,0.066344574,281.71555,274.53824,0.32245922,1.39E-08,2.76E-08
1960,50.75,6.25,3.21E-08,-7.7308483,0.94215816,4.3421535,31.69878,288.784,18.07065,-19.301018,283.7488,86.12518,13.24116,0.3735003,0.8152074,281.9177,0.99914396,0.3890108,2.11E-08,0.862497,6.360552,0.30757815,66.49059,4.11E-08,0.044214077,2.27E-08,1.90E-09,0,985.3874,3.25E-08,0.69582546,0.11224067,0,278.7686,273.92303,0.35287926,7.20E-09,2.63E-08
1960,50.75,6.75,2.79E-08,-5.3135443,0.9259121,-0.71563226,34.979324,289.54764,16.659388,-20.926582,283.94305,79.72237,14.322691,0.36388728,0.8096084,282.51257,0.98876923,0.3866632,1.84E-08,0.89398515,6.576527,0.27899036,59.202545,3.65E-08,0.02873028,2.00E-08,2.44E-09,1.24E-07,1001.4543,3.27E-08,0.6764294,0.1531584,0.03182517,279.85132,274.37723,0.3284742,1.04E-08,2.27E-08
1960,50.75,7.25,2.87E-08,2.289609,0.8687169,-7.407986,42.132854,289.6705,17.095564,-18.508904,282.0912,81.34103,13.518043,0.37965965,0.80136204,282.46805,0.9809869,0.3927627,1.99E-08,0.9308675,6.6277676,0.285122,47.513145,4.13E-08,0.011788967,1.47E-08,2.56E-09,0.004634102,1008.9514,3.33E-08,0.6884967,0.1676383,0.12030667,280.79196,274.11777,0.3185376,1.59E-08,2.74E-08
1960,51.25,2.25,2.47E-08,1.8748279,0.9063292,18.364145,37.164227,288.9964,3.8628826,19.582224,282.02408,61.748253,57.12123,0.051554512,0.8816563,283.70505,0.7595026,0.049521834,1.56E-08,0.8091379,2.3194163,0.022710359,78.14585,4.23E-08,0.018586189,2.38E-08,1.59E-08,0.07256802,1103.8708,2.15E-08,0.6628027,0.16093896,0.0654967,283.632,278.20618,0.035553455,1.22E-08,2.61E-08
1960,51.25,2.75,2.82E-08,-0.34156895,0.9343474,12.6940155,38.645786,289.11285,4.4420137,14.50111,282.05295,70.18631,45.974487,0.053931843,0.89747834,283.58774,0.7768334,0.049121503,1.74E-08,0.82539636,2.6235392,0.031249195,65.16475,4.49E-08,0.01231812,2.03E-08,1.29E-08,0.057401218,1098.4313,2.39E-08,0.667982,0.13101032,0.001741909,283.23697,277.69357,0.044828422,1.19E-08,2.76E-08
1960,51.25,3.25,2.50E-08,7.6690426,0.86964285,-5.9614787,54.00795,289.46426,19.931213,-20.669304,283.6115,87.811386,20.385544,0.24259152,0.80302846,283.47168,0.99186873,0.2543438,1.61E-08,0.9206916,5.0246115,0.16289647,53.545616,3.53E-08,0.046854414,1.69E-08,3.54E-09,0.017464845,1086.9528,3.25E-08,0.6793,0.3433087,0.17022133,282.6084,276.7414,0.19692786,1.74E-08,2.20E-08
1960,51.25,3.75,2.64E-08,0.9604497,0.91207355,-1.2073103,51.543583,289.61844,15.218512,-22.480927,284.29724,94.453255,16.805613,0.34495783,0.8511014,283.3724,0.99460804,0.36063567,1.64E-08,0.89728445,6.016394,0.2773975,61.625008,3.54E-08,0.078878246,2.03E-08,2.50E-09,0.017786955,1076.2667,3.35E-08,0.6919178,0.28931808,0.13480711,282.2198,276.21475,0.30773476,1.58E-08,2.14E-08
1960,51.25,4.25,2.68E-08,-2.1077523,0.9331283,-3.495603,48.95808,289.66373,12.312025,-22.378315,284.20837,93.26756,16.117886,0.36271104,0.8707865,283.30304,0.9914435,0.38006362,1.70E-08,0.9053431,6.1433525,0.29547465,60.115868,3.58E-08,0.05304667,1.97E-08,2.36E-09,0.019071244,1070.4156,3.28E-08,0.69310766,0.23324844,0.09936243,281.66116,275.9779,0.3331154,1.42E-08,2.24E-08
